match_id,team,player,jersey_number,starter,appeared,first_position,on_time,off_time,start_reason,end_reason,num_positions_played
3857288,Tunisia,Ali Maâloul,12,False,False,,,,,,0
3857288,Tunisia,Ferjani Sassi,13,False,True,Right Center Midfield,45:00,,Tactical Shift,Final Whistle,3
3857288,Tunisia,Yassine Meriah,4,True,True,Center Back,00:00,,Starting XI,Final Whistle,2
3857288,Tunisia,Mouez Hassen,26,False,False,,,,,,0
3857288,Tunisia,Dylan Daniel Mahmoud Bronn,6,True,True,Right Center Back,00:00,72:43,Starting XI,Substitution - Off (Tactical),2
3857288,Tunisia,Aymen Mathlouthi,1,False,False,,,,,,0
3857288,Tunisia,Ghilane Chalali,18,False,False,,,,,,0
3857288,Tunisia,Mohamed Dräger,20,True,True,Right Wing Back,00:00,45:00,Starting XI,Substitution - Off (Tactical),2
3857288,Tunisia,Issam Jebali,9,True,True,Center Forward,00:00,72:43,Starting XI,Substitution - Off (Tactical),1
3857288,Tunisia,Youssef Msakni,7,True,True,Left Attacking Midfield,00:00,,Starting XI,Final Whistle,2
3857288,Tunisia,Nader Ghandri,5,False,False,,,,,,0
3857288,Tunisia,Ali Abdi,24,True,True,Left Wing Back,00:00,,Starting XI,Final Whistle,2
3857288,Tunisia,Montassar Omar Talbi,3,True,True,Left Center Back,00:00,,Starting XI,Final Whistle,1
3857288,Tunisia,Anis Ben Slimane,25,False,False,,,,,,0
3857288,Tunisia,Aïssa Bilal Laïdouni,14,True,True,Left Defensive Midfield,00:00,66:47,Starting XI,Substitution - Off (Tactical),2
3857288,Tunisia,Hannibal Mejbri,8,False,False,,,,,,0
3857288,Tunisia,Seifeddine Jaziri,19,False,False,,,,,,0
3857288,Tunisia,Mohamed Ali Ben Romdhane,15,False,False,,,,,,0
3857288,Tunisia,Aymen Dahmen,16,True,True,Goalkeeper,00:00,,Starting XI,Final Whistle,1
3857288,Tunisia,Wajdi Kechrida,21,False,True,Right Back,72:43,,Substitution - On (Tactical),Final Whistle,1
3857288,Tunisia,Taha Yassine Khenissi,11,False,True,Center Forward,72:43,,Substitution - On (Tactical),Final Whistle,1
3857288,Tunisia,Bechir Ben Said,22,False,False,,,,,,0
3857288,Tunisia,Bilel Ifa,2,False,False,,,,,,0
3857288,Australia,Mathew Ryan,1,True,True,Goalkeeper,00:00,,Starting XI,Final Whistle,1
3857288,Australia,Aaron Mooy,13,True,True,Left Defensive Midfield,00:00,,Starting XI,Final Whistle,1
3857288,Australia,Aziz Eraltay Behich,16,True,True,Left Back,00:00,,Starting XI,Final Whistle,1
3857288,Australia,Mathew Leckie,7,True,True,Right Midfield,00:00,84:28,Starting XI,Substitution - Off (Tactical),2
3857288,Australia,Jackson Irvine,22,True,True,Right Defensive Midfield,00:00,,Starting XI,Final Whistle,1
3857288,Australia,Craig Goodwin,23,True,True,Left Midfield,00:00,84:32,Starting XI,Substitution - Off (Tactical),1
3857288,Australia,Ajdin Hrustic,10,False,True,Left Center Forward,63:05,,Substitution - On (Tactical),Final Whistle,2
3857288,Australia,Jason Cummings,25,False,False,,,,,,0
3857288,Australia,Jamie MacLaren,9,False,True,Right Center Forward,63:01,,Substitution - On (Tactical),Final Whistle,2
3857288,Australia,Miloš Degenek,2,False,True,Right Back,74:49,,Substitution - On (Tactical),Final Whistle,1
3857288,Australia,Danny Vuković,18,False,False,,,,,,0
3857288,Australia,Harry Souttar,19,True,True,Right Center Back,00:00,,Starting XI,Final Whistle,1
3857288,Australia,Bailey Wright,8,False,False,,,,,,0
3857288,Australia,Awer Denis Bul Mabil,11,False,True,Left Midfield,84:32,,Substitution - On (Tactical),Final Whistle,1
3857288,Australia,Fran Karačić,5,True,True,Right Back,00:00,74:49,Starting XI,Substitution - Off (Tactical),1
3857288,Australia,Thomas Deng,20,False,False,,,,,,0
3857288,Australia,Joel King,24,False,False,,,,,,0
3857288,Australia,Riley McGree,14,True,True,Left Center Forward,00:00,63:05,Starting XI,Substitution - Off (Tactical),1
3857288,Australia,Keanu Baccus,26,False,True,Right Midfield,84:28,,Substitution - On (Tactical),Final Whistle,1
3857288,Australia,Mitchell Thomas Duke,15,True,True,Right Center Forward,00:00,63:01,Starting XI,Substitution - Off (Tactical),1
3857288,Australia,Kye Rowles,4,True,True,Left Center Back,00:00,,Starting XI,Final Whistle,1
3857288,Australia,Cameron Peter Devlin,17,False,False,,,,,,0
3857288,Australia,Andrew Redmayne,12,False,False,,,,,,0
3857288,Australia,Marco Tilio,6,False,False,,,,,,0
3857288,Australia,Garang Kuol,21,False,False,,,,,,0
3857292,Germany,Leroy Sané,19,True,True,Right Wing,00:00,,Starting XI,Final Whistle,3
3857292,Germany,Antonio Rüdiger,2,True,True,Left Center Back,00:00,,Starting XI,Final Whistle,1
3857292,Germany,Kevin Trapp,12,False,False,,,,,,0
3857292,Germany,Julian Brandt,17,False,False,,,,,,0
3857292,Germany,Thomas Müller,13,True,True,Center Forward,00:00,65:51,Starting XI,Substitution - Off (Tactical),2
3857292,Germany,Manuel Neuer,1,True,True,Goalkeeper,00:00,,Starting XI,Final Whistle,1
3857292,Germany,Joshua Kimmich,6,True,True,Right Back,00:00,,Starting XI,Final Whistle,4
3857292,Germany,Niklas Süle,15,True,True,Right Center Back,00:00,93:37,Starting XI,Substitution - Off (Tactical),2
3857292,Germany,Leon Goretzka,8,True,True,Right Defensive Midfield,00:00,45:00,Starting XI,Substitution - Off (Tactical),1
