match_id,minute,second,team,player,card,advantage,offensive
3857277,49,14,Morocco,Sofyan Amrabat,,False,False
3857277,62,38,Croatia,Luka Modrić,,True,False
3857277,62,45,Croatia,Luka Modrić,,False,False
3857277,68,5,Morocco,Selim Amallah,,True,False
3857277,69,37,Morocco,Abdessamad Ezzalzouli,,False,False
3857277,74,47,Morocco,Abdessamad Ezzalzouli,,False,False
3857277,76,2,Croatia,Ivan Perišić,,False,False
3857277,77,27,Morocco,Sofyan Amrabat,Yellow Card,False,False
3857277,79,12,Morocco,Selim Amallah,,False,False
3857277,80,3,Croatia,Joško Gvardiol,,False,False
3857277,87,8,Morocco,Yahia Attiyat allah,,False,False
3857277,89,37,Croatia,Borna Sosa,,False,False
3857277,92,40,Morocco,Hakim Ziyech,,False,False
3857277,93,45,Morocco,Selim Amallah,,True,False
3857277,94,46,Morocco,Abdessamad Ezzalzouli,,False,False
3857277,95,10,Morocco,Selim Amallah,,False,False
3869118,4,59,Senegal,Pathé Ismaël Ciss,,False,False
3869118,6,12,Senegal,Krépin Diatta,,False,False
3869118,7,13,England,Declan Rice,,False,False
3869118,9,46,Senegal,Krépin Diatta,,False,False
3869118,13,7,Senegal,Abdou Diallo,,True,False
3869118,15,30,Senegal,Krépin Diatta,,False,False
3869118,29,12,England,John Stones,,False,False
3869118,31,7,Senegal,Abdou Diallo,,False,False
3869118,32,48,England,Luke Shaw,,False,False
3869118,35,48,England,Kyle Walker,,False,False
3869118,45,47,England,Bukayo Saka,,False,False
3869118,47,52,England,Jude Bellingham,,False,False
3869118,59,42,England,Jude Bellingham,,False,False
3869118,61,56,England,Luke Shaw,,False,False
3869118,63,19,Senegal,Pape Gueye,,False,False
3869118,65,2,England,Harry Maguire,,False,False
3869118,66,17,Senegal,Nampalys Mendy,,False,False
3869118,66,56,Senegal,Cheikh Ahmadou Bamba Mbacke Dieng,,False,False
3869118,67,51,England,Harry Kane,,False,False
3869118,70,51,Senegal,Pape Gueye,,False,False
3869118,72,24,England,Luke Shaw,,False,False
3869118,75,8,Senegal,Kalidou Koulibaly,Yellow Card,False,False
3869118,76,28,Senegal,Pape Gueye,,False,False
3869118,77,52,England,Eric Dier,,False,False
3869118,80,30,Senegal,Cheikh Ahmadou Bamba Mbacke Dieng,,False,False
3869118,81,50,England,Kyle Walker,,False,False
3869118,85,40,England,Mason Mount,,False,False
3869118,88,21,England,Mason Mount,,False,False
3869118,91,20,England,Declan Rice,,False,False
3857264,2,1,Argentina,Nicolás Hernán Otamendi,,False,False
3857264,4,7,Poland,Krystian Bielik,,False,False
3857264,8,48,Poland,Krystian Bielik,,True,False
3857264,8,57,Argentina,Cristian Gabriel Romero,,False,False
3857264,12,52,Argentina,Nahuel Molina Lucero,,False,False
3857264,19,11,Argentina,Nicolás Hernán Otamendi,,False,False
3857264,23,59,Argentina,Rodrigo Javier De Paul,,False,False
3857264,35,15,Poland,Wojciech Szczęsny,,False,False
3857264,44,1,Poland,Grzegorz Krychowiak,,True,False
3857264,46,59,Argentina,Marcos Javier Acuña,,False,False
3857264,47,40,Argentina,Cristian Gabriel Romero,,False,False
3857264,48,12,Argentina,Marcos Javier Acuña,Yellow Card,False,False
3857264,49,29,Poland,Bartosz Bereszyński,,False,False
3857264,51,29,Argentina,Rodrigo Javier De Paul,,False,False
3857264,65,47,Poland,Michał Skóraś,,False,False
3857264,66,29,Poland,Damian Szymański,,True,False
3857264,70,47,Argentina,Cristian Gabriel Romero,,False,False
3857264,77,37,Poland,Grzegorz Krychowiak,Yellow Card,False,False
3857264,84,16,Argentina,Leandro Daniel Paredes,,False,False
3857264,88,4,Argentina,Rodrigo Javier De Paul,,False,False
3857264,94,29,Poland,Robert Lewandowski,,False,False
3857288,4,37,Tunisia,Mohamed Dräger,,False,False
3857288,9,32,Tunisia,Issam Jebali,,False,False
3857288,13,14,Australia,Aziz Eraltay Behich,,False,False
3857288,19,34,Australia,Aaron Mooy,,False,False
3857288,24,25,Tunisia,Issam Jebali,,False,True
3857288,25,16,Tunisia,Aïssa Bilal Laïdouni,Yellow Card,False,False
3857288,27,11,Australia,Fran Karačić,,False,False
3857288,29,2,Tunisia,Mohamed Dräger,,False,False
3857288,30,4,Australia,Jackson Irvine,,False,False
3857288,30,44,Tunisia,Montassar Omar Talbi,,False,False
3857288,32,31,Tunisia,Dylan Daniel Mahmoud Bronn,,False,False
3857288,34,37,Australia,Riley McGree,,True,False
3857288,34,47,Australia,Mathew Leckie,,False,False
3857288,39,20,Australia,Mathew Leckie,,False,False
3857288,40,51,Tunisia,Montassar Omar Talbi,,False,False
3857288,42,22,Tunisia,Ali Abdi,,False,False
3857288,46,12,Tunisia,Montassar Omar Talbi,,False,False
3857288,48,35,Tunisia,Ali Abdi,,False,False
3857288,49,30,Australia,Aaron Mooy,,False,False
3857288,49,58,Australia,Fran Karačić,,False,False
3857288,50,12,Australia,Kye Rowles,,False,False
3857288,51,57,Australia,Jackson Irvine,,False,False
3857288,53,29,Australia,Mathew Leckie,,False,False
3857288,58,12,Australia,Riley McGree,,False,False
