match_id,minute,second,team,player_off,player_in,reason
3857299,87,31,Ghana,Gideon Mensah,Abdul Rahman Baba,Injury
3857299,91,42,South Korea,Min Jae Kim,Kyung-Won Kwon,Tactical
3857294,63,47,Qatar,Hassan Khalid Al Heidos,Ali Assadalla Thaimn Qambar,Injury
3857294,63,49,Qatar,Assim Omer Al Haj Madibo,Karim Boudiaf,Tactical
3857294,64,12,Qatar,Almoez Ali Zainalabiddin Abdulla,Mohammed Muntari,Tactical
3857294,65,24,Netherlands,Davy Klaassen,Steven Berghuis,Tactical
3857294,65,45,Netherlands,Memphis Depay,Vincent Janssen,Tactical
3857294,82,6,Netherlands,Cody Mathès Gakpo,Wout Weghorst,Tactical
3857294,82,10,Netherlands,Marten de Roon,Teun Koopmeiners,Tactical
3857294,84,28,Qatar,Abdulaziz Hatem Mohammed Abdullah,Ahmed Alaa Eldin Abdelmotaal,Tactical
3857294,84,35,Qatar,Ismaeel Mohammad Mohammad,Mosaab Khoder Jibril,Tactical
3857294,85,59,Netherlands,Frenkie de Jong,Kenneth Taylor,Tactical
3869220,62,33,Spain,Pablo Martín Páez Gavira,Carlos Soler Barragán,Tactical
3869220,62,34,Spain,Marco Asensio Willemsen,Álvaro Borja Morata Martín,Tactical
3869220,65,52,Morocco,Sofiane Boufal,Abdessamad Ezzalzouli,Tactical
3869220,75,4,Spain,Ferrán Torres García,Nicholas Williams Arthuer,Tactical
3869220,81,35,Morocco,Selim Amallah,Walid Cheddira,Tactical
3869220,81,37,Morocco,Youssef En-Nesyri,Abdelhamid Sabiri,Tactical
3869220,82,50,Morocco,Noussair Mazraoui,Yahia Attiyat allah,Tactical
3869220,84,0,Morocco,Nayef Aguerd,Jawad El Yamiq,Injury
3869220,97,21,Spain,Daniel Olmo Carvajal,Anssumane Fati,Tactical
3869220,97,30,Spain,Jordi Alba Ramos,Alejandro Balde Martínez,Tactical
3869220,117,54,Spain,Nicholas Williams Arthuer,Pablo Sarabia García,Tactical
3869220,119,30,Morocco,Azzedine Ounahi,Badr Banoun,Tactical
3857297,45,0,Saudi Arabia,Sami Khalil Al Naji,Nawaf Shaker Al Abid,Tactical
3857297,62,8,Poland,Piotr Zieliński,Jakub Kamiński,Tactical
3857297,64,45,Saudi Arabia,Mohammed Al Burayk,Sultan Abdullah Salim Al Ghannam,Tactical
3857297,70,37,Poland,Arkadiusz Milik,Krzysztof Piątek,Tactical
3857297,84,56,Saudi Arabia,Abdulelah Saad Hameed Al-Malki,Abdulrahman Al-Obood,Tactical
3857297,85,0,Saudi Arabia,Saleh Khalid Al Shehri,Nasser Al Dawsari,Tactical
3857297,94,41,Saudi Arabia,Nawaf Shaker Al Abid,Hattan Babhir,Tactical
3857263,53,25,Spain,Ferrán Torres García,Álvaro Borja Morata Martín,Tactical
3857263,65,14,Spain,Marco Asensio Willemsen,Jorge Resurrección Merodio,Tactical
3857263,65,37,Spain,Pablo Martín Páez Gavira,Nicholas Williams Arthuer,Tactical
3857263,69,2,Germany,İlkay Gündoğan,Leroy Sané,Tactical
3857263,69,15,Germany,Thomas Müller,Niclas Füllkrug,Tactical
3857263,69,20,Germany,Thilo Kehrer,Lukas Klostermann,Tactical
3857263,81,51,Spain,Jordi Alba Ramos,Alejandro Balde Martínez,Tactical
3857263,84,17,Germany,Serge Gnabry,Jonas Hofmann,Tactical
3857263,86,17,Germany,David Raum,Nico Schlotterbeck,Tactical
3857283,59,39,Belgium,Eden Hazard,Dries Mertens,Tactical
3857283,59,40,Belgium,Amadou Onana,Youri Tielemans,Tactical
3857283,66,36,Morocco,Selim Amallah,Yahia Attiyat allah,Tactical
3857283,66,38,Morocco,Achraf Hakimi Mouh,Abdelhamid Sabiri,Tactical
3857283,71,38,Morocco,Sofiane Boufal,Zakaria Aboukhlal,Tactical
3857283,71,40,Morocco,Youssef En-Nesyri,Abderrazak Hamdallah,Tactical
3857283,74,1,Belgium,Michy Batshuayi Tunga,Charles De Ketelaere,Tactical
3857283,74,3,Belgium,Thorgan Hazard,Leandro Trossard,Tactical
3857283,77,37,Morocco,Azzedine Ounahi,Jawad El Yamiq,Tactical
3857283,80,42,Belgium,Thomas Meunier,Romelu Lukaku Menama,Tactical
3869321,45,0,Netherlands,Steven Bergwijn,Steven Berghuis,Tactical
3869321,45,0,Netherlands,Marten de Roon,Teun Koopmeiners,Tactical
3869321,64,1,Netherlands,Daley Blind,Luuk de Jong,Tactical
