match_id,minute,second,team,player,card,reason
3857298,48,14,Ghana,André Ayew Pelé,Yellow Card,Foul
3857298,56,40,Ghana,Alidu Seidu,Yellow Card,Foul
3857298,89,30,Portugal,Danilo Luís Hélio Pereira,Yellow Card,Foul
3857298,90,29,Ghana,Iñaki Williams Arthuer,Yellow Card,Bad Behaviour
3857298,94,28,Portugal,Bruno Miguel Borges Fernandes,Yellow Card,Foul
3857300,66,24,Saudi Arabia,Abdulelah Saad Hameed Al-Malki,Yellow Card,Foul
3857300,74,9,Saudi Arabia,Ali Albulayhi,Yellow Card,Bad Behaviour
3857300,78,38,Saudi Arabia,Salem Mohammed Al Dawsari,Yellow Card,Bad Behaviour
3857300,81,2,Saudi Arabia,Saud Abdullah Abdul Hamid,Yellow Card,Foul
3857300,87,42,Saudi Arabia,Nawaf Shaker Al Abid,Yellow Card,Bad Behaviour
3857300,91,2,Saudi Arabia,Mohammed Khalil Al Owais,Yellow Card,Bad Behaviour
3857261,28,39,Wales,Daniel James,Yellow Card,Foul
3857261,60,34,Wales,Aaron Ramsey,Yellow Card,Foul
3869519,31,10,Croatia,Dominik Livaković,Yellow Card,Foul
3869519,31,31,Croatia,Mateo Kovačić,Yellow Card,Bad Behaviour
3869519,67,31,Argentina,Cristian Gabriel Romero,Yellow Card,Foul
3869519,70,56,Argentina,Nicolás Hernán Otamendi,Yellow Card,Bad Behaviour
3857291,67,18,Costa Rica,Francisco Javier Calvo Quesada,Yellow Card,Foul
3857291,96,7,Costa Rica,Joel Nathaniel Campbell Samuels,Yellow Card,Foul
3857262,35,42,South Korea,Kang-In Lee,Yellow Card,Foul
3857262,92,36,South Korea,Hee-Chan Hwang,Yellow Card,Bad Behaviour
3857259,23,18,Cameroon,Nicolas Alexis Julio N'Koulou Ndoubena,Yellow Card,Foul
3857259,29,38,Cameroon,Christian Mougang Bassogog,Yellow Card,Bad Behaviour
3857259,48,35,Serbia,Luka Jović,Yellow Card,Bad Behaviour
3857259,92,53,Serbia,Nikola Milenković,Yellow Card,Foul
3857276,6,43,Canada,David Junior Hoilett,Yellow Card,Foul
3857276,25,39,Canada,Jonathan Osorio,Yellow Card,Foul
3857276,46,25,Canada,Sam Adekugbe,Yellow Card,Foul
3857276,83,49,Canada,Steven de Sousa Vitoria,Yellow Card,Foul
3857290,35,21,Cameroon,Ngoran Suiru Fai Collins,Yellow Card,Foul
3857290,63,29,Switzerland,Nico Elvedi,Yellow Card,Foul
3857290,82,49,Switzerland,Manuel Obafemi Akanji,Yellow Card,Foul
3857273,47,31,Wales,Joe Rodon,Yellow Card,Foul
3857273,83,43,Wales,Wayne Hennessey,Red Card,Foul
3857273,94,0,Iran,Ramin Rezaeian,Yellow Card,Bad Behaviour
3857273,94,20,Iran,Alireza Jahanbakhsh,Yellow Card,Foul
3857256,14,27,Switzerland,Silvan Widmer,Yellow Card,Foul
3857256,33,22,Switzerland,Ruben Vargas,Yellow Card,Foul
3857256,46,35,Serbia,Sergej Milinković-Savić,Yellow Card,Foul
3857256,55,0,Serbia,Strahinja Pavlović,Yellow Card,Foul
3857256,66,5,Serbia,Predrag Rajković,Yellow Card,Bad Behaviour
3857256,80,29,Serbia,Nemanja Gudelj,Yellow Card,Foul
3857256,81,42,Serbia,Aleksandar Mitrović,Yellow Card,Bad Behaviour
3857256,94,20,Serbia,Nikola Milenković,Yellow Card,Bad Behaviour
3857256,94,21,Switzerland,Granit Xhaka,Yellow Card,Bad Behaviour
3857256,98,17,Switzerland,Fabian Lukas Schär,Yellow Card,Foul
3857256,99,3,Serbia,Saša Lukić,Yellow Card,Foul
3869420,24,6,Brazil,Danilo Luiz da Silva,Yellow Card,Foul
3869420,30,14,Croatia,Marcelo Brozović,Yellow Card,Foul
3869420,67,21,Brazil,Carlos Henrique Casimiro,Yellow Card,Foul
3869420,76,16,Brazil,Marcos Aoás Corrêa,Yellow Card,Foul
3869420,116,19,Croatia,Bruno Petković,Yellow Card,Bad Behaviour
3869354,42,15,France,Antoine Griezmann,Yellow Card,Foul
3869354,45,48,France,Ousmane Dembélé,Yellow Card,Foul
3869354,79,43,France,Theo Bernard François Hernández,Yellow Card,Foul
3869354,88,42,England,Harry Maguire,Yellow Card,Foul
3857266,19,3,Denmark,Andreas Christensen,Yellow Card,Foul
3857266,22,15,Denmark,Andreas Evald Cornelius,Yellow Card,Foul
3857266,42,6,France,Jules Koundé,Yellow Card,Foul
3857280,5,9,Cameroon,Nouhou Tolo,Yellow Card,Foul
3857280,6,24,Brazil,Éder Gabriel Militão,Yellow Card,Foul
3857280,27,49,Cameroon,Pierre Kunde Malong,Yellow Card,Foul
3857280,31,47,Cameroon,Ngoran Suiru Fai Collins,Yellow Card,Foul
3857280,80,29,Cameroon,Vincent Paté Aboubakar,Yellow Card,Foul
3857280,84,21,Brazil,Bruno Guimarães Rodriguez Moura,Yellow Card,Foul
3857280,92,54,Cameroon,Vincent Paté Aboubakar,Second Yellow,Bad Behaviour
3857285,55,48,Netherlands,Matthijs de Ligt,Yellow Card,Foul
3857285,93,48,Senegal,Nampalys Mendy,Yellow Card,Foul
3857285,95,15,Senegal,Idrissa Gana Gueye,Yellow Card,Foul
3857271,24,19,Iran,Alireza Jahanbakhsh,Yellow Card,Foul
3857271,47,47,Iran,Morteza Pouraliganji,Yellow Card,Foul
3857270,5,34,Uruguay,Rodrigo Bentancur Colmán,Yellow Card,Foul
3857270,37,45,Portugal,Rúben Diogo Da Silva Neves,Yellow Card,Foul
3857270,43,50,Uruguay,Mathías Olivera Miramontes,Yellow Card,Bad Behaviour
3857270,76,12,Portugal,João Félix Sequeira,Yellow Card,Foul
3857270,88,35,Portugal,Rúben Santos Gato Alves Dias,Yellow Card,Bad Behaviour
